Cpd,CATS2D_09_DA_me,C-012_me,VE1sign_D/Dt_bt,F08[C-O]_me,C-012_at,VE2_D/Dt_me,SpMAD_AEA(dm)_bt,S-109_bt,GATS3p_at,HyWi_B(s)_bt,Active
1279,-0.884615385,-0.230769231,-0.15592963,-0.846153846,0,0.022115385,-0.090873016,-0.53968254,-0.072705882,-0.770767196,-1
723,-0.796766744,-0.064665127,-0.19762963,-1.069284065,-0.080357143,-0.007775982,0.049126984,0.46031746,-0.124069196,0.339232804,1
684,-0.796766744,-0.064665127,-0.17932963,-2.069284065,-0.080357143,-0.005775982,-0.020873016,-0.53968254,0.258930804,-0.090767196,-1
1977,-0.884615385,-0.230769231,0.00867037,-1.846153846,0,0.043115385,-0.070873016,-0.53968254,-0.008705882,-0.660767196,-1
1496,-0.884615385,-0.230769231,0.12267037,-1.846153846,0,-0.003884615,-0.080873016,-0.53968254,0.061294118,-0.070767196,1
87,-0.796766744,-0.064665127,-0.228181609,-2.069284065,-0.080357143,0.090224018,-0.074367816,-0.333333333,0.188930804,-0.574942529,-1
883,-0.796766744,-0.064665127,0.13567037,-0.069284065,-0.080357143,-0.012775982,0.009126984,0.46031746,0.022930804,0.059232804,1
1435,-0.884615385,-0.230769231,-0.20996963,5.153846154,0,0.004115385,0.059126984,-0.53968254,0.031294118,-0.110767196,-1
1021,1.203233256,-0.064665127,0.01467037,1.930715935,-0.080357143,0.005224018,-0.030873016,-0.53968254,0.047930804,-0.220767196,1
1273,-0.884615385,-0.230769231,0.03867037,-1.846153846,0,-0.000884615,-0.060873016,-0.53968254,0.031294118,-0.690767196,-1
181,-0.796766744,-0.064665127,-0.366481609,-2.069284065,-0.080357143,0.000224018,0.025632184,0.666666667,0.078930804,0.285057471,1
219,-0.796766744,-0.064665127,-0.230181609,-1.069284065,-0.080357143,0.101224018,-0.064367816,-0.333333333,0.208930804,-0.584942529,-1
477,-0.796766744,-0.064665127,-0.15242963,-1.069284065,-0.080357143,-0.006775982,0.009126984,0.46031746,0.118930804,0.029232804,1
293,-0.796766744,-0.064665127,-0.184181609,-2.069284065,-0.080357143,0.050224018,-0.074367816,-0.333333333,0.178930804,-0.454942529,-1
913,-0.796766744,0.935334873,-0.05032963,-2.069284065,0.919642857,-0.001775982,0.039126984,0.46031746,-0.080069196,0.089232804,1
221,-0.796766744,-0.064665127,-0.193181609,-2.069284065,-0.080357143,0.050224018,-0.054367816,-0.333333333,0.178930804,-0.434942529,-1
1347,1.115384615,-0.230769231,0.09967037,3.153846154,-0.080357143,-0.003884615,0.029126984,-0.53968254,0.308930804,-0.340767196,-1
1903,-0.884615385,-0.230769231,0.16767037,-0.846153846,0,-0.003884615,-0.000873016,-0.53968254,0.061294118,0.089232804,-1
1228,-0.884615385,-0.230769231,0.03167037,1.153846154,-0.080357143,-0.019884615,-0.030873016,-0.53968254,0.098930804,-0.540767196,-1
628,0.203233256,-0.064665127,-0.11792963,-1.069284065,-0.080357143,-0.005775982,0.089126984,0.46031746,-0.098069196,0.099232804,1
