Cpd,CATS2D_09_DA_me,C-012_me,VE1sign_D/Dt_bt,F08[C-O]_me,C-012_at,VE2_D/Dt_me,SpMAD_AEA(dm)_bt,S-109_bt,GATS3p_at,HyWi_B(s)_bt
953,-0.796766744,-0.064665127,-0.06732963,-1.069284065,-0.080357143,-0.009775982,0.019126984,0.46031746,-0.074069196,0.289232804
437,-0.796766744,-0.064665127,0.06767037,2.930715935,-0.080357143,-0.018775982,-0.020873016,-0.53968254,0.016930804,-0.030767196
1689,-2.166666667,-0.333333333,0.10867037,3,-0.080357143,-0.003,-0.020873016,-0.53968254,0.108930804,-0.020767196
1872,-0.884615385,-0.230769231,0.13767037,0.153846154,0,0.008115385,-0.050873016,-0.53968254,0.211294118,-0.610767196
1225,1.115384615,-0.230769231,-0.09832963,2.153846154,0,-0.011884615,-0.050873016,-0.53968254,0.061294118,-0.320767196
255,-0.796766744,-0.064665127,-0.248181609,-2.069284065,-0.080357143,0.029224018,-0.104367816,-0.333333333,0.039930804,-0.344942529
1859,-0.884615385,-0.230769231,0.04067037,-0.846153846,0,0.001115385,-0.020873016,-0.53968254,-0.113705882,-0.190767196
1423,-0.884615385,-0.230769231,0.13467037,1.153846154,0,0.003115385,-0.050873016,-0.53968254,0.051294118,-0.490767196
556,-0.796766744,-0.064665127,0.14267037,0.930715935,-0.080357143,-0.015775982,0.019126984,0.46031746,-0.056069196,0.039232804
803,-0.796766744,-0.064665127,-0.13032963,-1.069284065,-0.080357143,-0.012775982,0.009126984,0.46031746,-0.084069196,0.309232804
1739,1.115384615,-0.230769231,-0.20866963,5.153846154,0,-0.005884615,-0.010873016,-0.53968254,0.011294118,-0.360767196
1277,-0.884615385,-0.230769231,0.15567037,0.153846154,0,0.006115385,-0.040873016,-0.53968254,0.061294118,-0.500767196
845,-0.796766744,0.935334873,0.02467037,-1.069284065,0.919642857,-0.011775982,0.029126984,0.46031746,-0.093069196,0.629232804
1450,0.115384615,-0.230769231,-0.20738963,0.153846154,0,0.013115385,-0.030873016,-0.53968254,-0.030705882,-0.570767196
1765,0.115384615,-0.230769231,0.06567037,0.153846154,0,-0.005884615,-0.010873016,-0.53968254,0.181294118,-0.060767196
399,1.115384615,0.769230769,-0.088181609,2.153846154,0.919642857,0.003115385,0.025632184,-0.333333333,-0.014069196,-0.104942529
358,0.203233256,-0.064665127,0.025818391,1.930715935,-0.080357143,0.023224018,-0.064367816,-0.333333333,0.023930804,-0.394942529
